"normalized_entity","categories","sub_categories","details_list"
"qcb","Liability,Asset","Mortgage,Other Asset","Mortgage on investment property,Savings account"
"qld","Asset,Unknown,Membership","Real Estate,Other,Shares,Other Membership","Family home,Spouse/partner Family home,Houses/Units/Land, Commercial Buildings, Residential/Investments,spouse/partner; Residential/investment,Houses/Units/Land, Commercial Buildings, Restaurant, Residential/Investments,Houses/Units/Land, Residential/Investments,Returning Member declaration: Real estate owned in Prince Henry Heights, Toowoomba, QLD,Returning Member declaration: Real estate investment in Prince Henry Heights, Toowoomba, QLD,Residential (Spouse/partner),Investment (Spouse/partner)..."
"qotor","Unknown","Other","Penfolds shiraz RWT, retail volkle cyрох $160 from Qotor as nevler of Hight category"
"qpac","Gift,Income","Entertainment,Other Income","2 tickets to Aladdin musical from QPAC.,Gift to spouse in her work capacity, attended ""Book of Mormon"" at QPAC on 05 January 2020"
"qpcu","Asset,Liability","Other Asset,Loan","Savings A/C, Savings,Loan, Overdraft,SAVINGS,Spouse - SAVINGS,Savings Accounts,Savings Accounts - Spouse"
"qraa","Liability","Mortgage","Mortgage"
"qsml","Unknown","Other","QSML Vaneck Vect MSCI Int small comp QTY ETF"
"qtic","Gift","Entertainment","2 x tickets from QTIC to the Queensland Tourism Awards 2021"
"raaa","Gift","Other Gift","Presented with a cheese knife by the RAAA."
"rabo","Liability","Loan","PROPERTY LOAN"
"rac","Gift","Entertainment","2 off for concert on 21/3/15 at Perth Arena (Rod Stewart Concert Tickets hosted by RAC),2 x Corporate Suite tickets to Broadway to Oz Concert on Tuesday 15 December 2015 at Perth Arena, Perth.,Tickets and hospitality provided by the RAC to myself and my husband to attend the final of the 2019 Hopman Cup on 5 January 2019. Tickets valued at $113.75 each.,Tickets provided by the RAC to myself and my wife to attend the final of the 2019 Hopman Cup on 5 Janurary 2019 in their corporate suite.,Gift o..."
"raca","Unknown","Other","N/A"
"racgp","Unknown","Other","Spouse/partner - Fellow of the RACGP,RACGP,Spouse/partner"
"racha","Gift","Entertainment","HOSPITALITY + 1 TICKET - BRUCE SPRINGSTEEN - GUEST OF RACHA 22/2/17"
"racp","Unknown","Other","N/A"
"racq","Gift,Unknown,Asset","Entertainment,Other,Other Asset","Guest of the RACQ at the Wallabies -v- British and Irish Lions International Rugby Union game in Brisbane, which included tickets and hospitality in the form of food and drinks.,Member,Spouse/partner: Savings,Attended Australia France Rugby Union Test in Brisbane 7-6-14 as guest of ARU and RACQ"
"racu","Liability","Loan","Car loan (Spouse)"
"racv","Gift","Entertainment","Carlton Football Club, MCC Members, RACV, Liberal Party of Australia (Victorian Division), Pontiac Car Club of Australia, Union-University and Schools Club, Sydney, Life Member, Melbourne University Liberal Club, Croydon Sub-Branch RSL, Honorary Member of Eastwood Golf Club, Croydon Chamber of Commerce,Liberal Party of Australia (Victorian Division); Member of various local community groups and organisations within the electorate of Casey which do not pose a conflict of interest,Carlton Football..."
"racwa","Gift","Entertainment","2x Corporate Box Tickets to Bruce Springsteen Concert on Wednesday 5th February 2014"
"rae","Asset","Shares","Shareholding in public and private companies including holding companies Rae & Partners Pty, Will Edwards Lawyers Pty Ltd (wholly owned subsidiary of Rae & Partners Pty), LSC Custodia (wholly owned subsidiary of Rae & Partners Pty), Australian Business Services Pty Ltd, Springford East Pty Ltd. See Annexed List for shares held by self managed superannuation fund."
"rams","Asset,Liability","Other Asset,Mortgage","Online savings account spouse,SAVINGS ACCOUNT,Returning Member declaration: Mortgage (joint with spouse),Returning Member declaration: Spouse mortgage (joint with spouse),Self: Mortgage (joint with spouse) – RAMS, Self: Line of credit (joint with spouse) - Bank of Queensland, Spouse: Mortgage (joint with spouse) – RAMS, Spouse: Line of credit (joint with spouse) - Bank of QLD,Savings Account"
"rbf","Asset","Other Asset","Superannuation"
"rcgc","Unknown","Other","N/A"
"rdo","Travel","Other Travel","Barcoo Beef Challenge charter flight to Tambo sponsored by RDO to the value of $1000pp x 2 David and Spouse"
"rea","Unknown","Other","REA (Spouse)"
"reid","Asset","Real Estate","Residential"
"resi","Liability","Mortgage","Mortgage"
"rest","Asset","Other Asset","SUPERANNUATION - REST,Superannuation Held by Paul Fletcher's Spouse Manuela Zappacosta,Superannuation - Spouse"
"rex","Travel,Membership,Unknown","Other Travel,Professional,Other","REX Flights $500,Gift from REX - Complimentary REX Lounge Membership & model of REX Boeing 737,Rex Lounge membership,Rex Lounge"
"rfx","Asset","Shares","Add RFX to the list of shareholdings in Public Listed companies. Remove Village Roadshow (VRL)"
"rhc","Asset,Unknown","Shares,Other","Shareholding in RHC,Held jointly with spouse in SMSF: Australian,N/A"
"rio","Asset,Unknown","Shares,Other","Shares held by spouse,Purchase and sale of all shares - Owned by Paula Lindsey - wife,Shareholding in Rio,Shareholdings in Rio,Addition"
"rmd","Unknown","Other","Held jointly with spouse in SMSF: Australian"
"rpgc","Unknown","Other","(Spouse/partner)"
"rsl","Unknown","Other","RSL"
"rtrfm","Unknown","Other","Gold subscription, RTRFM,Subscriber,Member (Spouse/partner)"
"rub","Asset,Unknown","Shares,Other","Spouse shares listed as at July 19, 2010,Item 1 (a),Listed Companies held by Spouse"
"ruok","Unknown","Other","RUOK? - Ambassador"
"rusi","Gift","Entertainment","Memberships: RUSI, Liberal Party of Australia, Scottsdale RSL, Launceston Football Club, Launceston Chamber of Commerce, Lions Club, and Launceston Bowls Club. (Self)"
"s32","Asset,Unknown","Shares,Other","Shareholding in S32,N/A,ALL OWNED BY SPOUSE/PARTNER: S32"
"sa","Asset","Real Estate","BEACH HOUSE,INVESTMENT PROPERTY"
"saca","Travel","Other Travel","Aust/W Indies Test, Adelaide, ticket & lunch, courtesy SACA x 2, Fri 19-1-24"
"sanfl","Gift","Entertainment","2 tickets from the SANFL - official function and game - Port v Adel"
"sbs","Gift,Travel,Unknown","Entertainment,Other Travel,Electronics,Other,Hospitality","21 April 2013 my wife and I received tickets from SBS to the Western Sydney Wanderers Grand Final game at Allianz Stadium in Sydney.,Self: I was a guest at SBS at the Specter Sydney Wanderers vs Wellington Phoenix A-League Game, 20/10/13.,Mid-winter Ball – SBS, Wednesday, 17 June, 2015; Corporate Box, All Phones Arena – NRMA, Saturday, 20 June, 2015,Digital & FM Radio approximate value $30, Monday 7 March 2016.,Guest of SBS at Sydney Institute Annual Dinner - Monday 28 April 2014.,Attendance at ..."
"scale","Travel","Other Travel","Avalon Airshow Ticket and Hospitality - Scale facilitation, 2 tickets and hospitality Flemington Races - Tabcorp, 2 tickets and hospitality - Geelong vs Collingwood - AFL, 4 tickets - Melbourne City vs Wellington Phoenix, 2 tickets and hospitality - Collingwood vs Essendon - AFL, Return flights to Sydney - Thomas Derum"
"scg","Asset","Shares,Trust","Shareholding in SCG,Guest of the SCG and Sports Ground Trust at the SCG on 7 January 2018 – hospitality and seat included"
"scp","Unknown","Other","ALL OWNED BY SPOUSE/PARTNER: SCP"
"sda","Membership,Unknown","Other Membership,Other","Membership of SDA,MEMBERSHIP,N/A,Self & Spouse/partner"
"sdf","Unknown","Other","DISPOSED"
"sdrl","Asset","Shares","Shares listed as at July 19, 2010"
"sdrlk","Unknown","Other","Listed Companies held by Self"
"seek","Unknown","Other","DIVESTED (AS PER ATTACHMENT)"
"sek","Asset","Shares","Striker SMSF holds shares in – BKL, CWN, QBE, SEK"
"self","Asset,Unknown,Travel,Membership","Shares,Other,Other Asset,Air Travel,Professional,Real Estate,Other Travel","Boats, artwork, books, furniture, Life insurance policies (Tower Australia Ltd), Macquarie Super Manager, Farm Plant & Machinery, Stock (cattle, sheep, horses)  all used in pastoral business conducted at East Rossgole and Scotts Creek, loans,Item 1 (c),Superannuation Fund,Superannuation Fund Self Managed,Stocks in Gilbert Frank Investments P/L,Superannuation,Rex flights, valued at $500,Penfolds RWT Shiraz 2014 in wooden box valued at $350 from Croplife.,Stocks held in self, Gilbert Frank Investm..."
"serco","Travel","Other Travel","Travel costs to Turkey on the Gallipoli Mateship Trek."
"seven","Gift","Entertainment","Complimentary ticket hospitality to seven hosted AFL Grand final-28/9/13"
"sgiix","Asset","Other Asset","Item 7:- SGIIX (self), MSD Energy Partners Ltd (self), MSD Torchlight Partners Ltd (self), VIG (self), VGT (self) - ADDITION"
"shape","Travel","Other Travel","Economy return flights to Brussels. Accommodation for three days,Visit 26-28 March 2012 to support the framework of NATO's widening co-operation with Partners Across the Globe. Sponsored by NATO HQ."
"shell","Gift","Entertainment","My wife and I attended two nights of the Australian Open Tennis Championships as guests."
"sil","Asset","Shares","All escrowed shares in my name or the names of my wife and children, both investment companies and SMSF are being placed in a structure that is independent of me where I have no control of investment decisions and where they are externally professionally managed (blinded as Trust structures)."
"silex","Asset","Other Asset","silex (asx listed public company) acquired by superfund (DA CK Gillespie)"
"siv","Unknown","Other","Purchased - SIV, PTM, MVF, HVN"
"slk","Unknown","Other","DISPOSED"
"smsf","Unknown,Asset","Other,Real Estate","SMSF - RFM Almond Fund,SMSF Deposit paid, apartment Brisbane City (50%)"
"smst","Unknown","Other","Agriculture Wheat Project,Agriculture Wheat Product."
"sons","Asset","Shares","has shares in Been Growers Australia Ltd and BGA Agriservices Ltd,no longer has shares in BGA Agriservices Ltd. (Deletion),Has shares in Bean Growers Australia"
"spdmm","Unknown","Other","Framed PNG crest - 30-Apr-15 SPDMM,Ground coffee - 30-Apr-15 SPDMM"
"spn","Asset","Shares","Shares held by spouse"
"spy","Unknown,Asset","Other,Other Asset","Item 1 (a),Listed Companies held by Self,Item 7:- EDD (Turnbull & Partners Pty Ltd), GYLD (Turnbull & Partners Holdings Pty Ltd), HEDJ (Turnbull & Partners Holdings Pty Ltd), SPY (Turnbull & Partners Holdings Pty Ltd) - ADDITION,Managed Funds and Fixed Interest Securities"
"stars","Membership","Other Membership","Member of the Friends of the"
"sul","Asset","Shares","Shares ASL LISTED - WES, CSR, SUL, WBC, BLD, WHC, MMS"
"sun","Unknown","Other","SUN"
"syd","Asset,Unknown","Shares,Other","Shareholding in SYD,ALL OWNED BY SPOUSE/PARTNER: SYD,Purchase of shares in family trust"
"szl","Unknown","Other","Held jointly with spouse in SMSF: Australian"
"tafe","Unknown","Other","Spouse-Employment - Left South Australian Department of Health and Ageing. Now employed at TAFE, DELETION"
"tal","Asset","Other Asset","Superannuation"
"taz","Unknown","Other","Spouse/partner,Spouse/partner: TAZ & Kids Pty Ltd"
"teco","Gift","Decorative","Small ornamental vase approx. 15cm high, pastel green with floral embellishments made by Tai-Hwa Pottery. Received from TECO."
"tesla","Unknown,Asset","Other,Shares","Tesla Model Y,Shares in Tesla (Spouse/partner),Partner's Tesla shares sold"
"tg1","Unknown","Other","TG1,TG1 unlisted options"
"tgs","Asset","Shares","Purchase and partial sale of shares"
"tio","Liability,Asset","Mortgage,Other Asset","Mortgage, LOC, Ye, loan,Savings,Mortgage,TIO Mortgage Account (DELETED),Savings accounts"
"tkms","Travel,Income,Unknown","Other Travel,Other Income,Other","Submarine cufflinks - 22-29 Apr 15 ANZAC Day visit to Europe - TKMS,Book: Silent Fleet - 22-29 Apr 15 ANZAC Day visit to Europe- TKMS,Submarine model - 22-29 Apr 15 ANZAC Day 2015 Plate - TKMS"
"tls","Asset","Shares","Shareholding in TLS,Purchased Shares in: NAB, TLS, BOQ, GEM"
"tne","Asset,Unknown","Other Asset,Shares,Other","Superannuation Fund,Shareholding in public companies (Spouse),Shareholding in public companies (Goodyear Super fund) Trust,Listed Companies,Superannuation Fund - Listed Companies,Spouse / Partner - Listed Companies,Spouse / Partner: Superannuation Fund - Listed Companies,Superannuation Fund- Listed Companies"
"toll","Unknown","Other","Model truck"
"tower","Asset","Other Asset","SUPERANNUATION - PSS, AUSTRALIAN SUPER, TOWER"
"trigg","Asset","Real Estate","New family home in Trigg, WA, with settlement having occurred on Monday 25 May 2020 (ADDITION)"
"ttf","Asset","Shares","Was a guest of TTF at the State of Origin game at ANZ Stadium."
"twe","Asset,Unknown","Shares,Other","Addition: Shares,Shareholding in TWE,N/A"
"twr","Unknown","Other","ALL OWNED BY SPOUSE/PARTNER: TWR"
"twu","Gift,Unknown","Hospitality,Other","Bottle of wine,Monopoly board game,N/A"
"tyx","Asset","Shares","SHARES"
"u2","Travel","Other Travel","Accepted 2 tickets to the U2 concert for myself and my spouse, Kim Swan in Brisbane on Wednesday 8 December 2010. This also included hospitality and a gift of an ipod with Bono's signature on it"
"uae","Travel,Gift","Other Travel,Electronics","Australian Parliamentary visit to the United Arab Emirates, incorporating Australia Unlimited Trade Fair, meeting with Australian Embassy staff, Australian Defence Force personnel, UAE/Australia Food Security Briefing, and tour of a Nuclear Power Plant. HH The Crown Prince of Abu Dhabi. 10/4/14-17/4/14,Free of charge upgrade to a suite at the Conrad Hotel, Dubai, UAE.,Flights & Hospitality to Sir Bani Yas Forum – funded by The Ministry of Foreign Affairs, Abu Dhabi, UAE Friday, 16 November - Sun..."
"ubank","Asset","Other Asset","Online savings account,Online Savings Account. Item 8, Self & Spouse.,Account for electorate allowance,Savings account,Savings, Spouse/partner,Self: Savings,Spouse/partner: Savings,Self and Spouse - Savings - UBank,Transaction Account for Electorate Allowance - Self,Savings"
"uber","Travel,Gift","Other Travel,Entertainment","Press Gallery Mid Winter Ball - Invitation from Uber,Press Gallery Mid Winter Ball tickets courtesy of Uber for 18 September 2019."
"ubs","Gift,Unknown,Asset","Entertainment,Other,Other Asset","Tickets X 2 to Australian Open 2014 Women's Final at Rod Laver Arena Hosted by UBS,Spouse,Self, Managed Investment Fund(s),Spouse, Managed Investment Fund(s),UBS IQ MSCI USA Ethical ETF (Spouse),Managed Investment Fund,Managed Investment Fund, Spouse"
"uci","Gift","Entertainment","Hospitality for UCI Road World Championships held in Wollongong 17/9/2022 - 25/9/2022. I received two days hospitality viewing of UCI race (18/9 & 24/9) and received a ticket to attend the UCI Gala Dinner on 24/9."
"uff","Membership","Other Membership","Member of UFF"
"uk","Asset","Shares","Investment of spouse/partner"
"unsw","Income","Other Income","UNSW - Book - Refugee Rights and Policy Wordings, Professor Jane McAdam – approx. $30 received on 16th July 2019."
"usa","Travel,Asset","Other Travel,Real Estate","Received reimbursement for costs incurred to alter my return flight from USA to Australia.,Apartment, Investment (Spouse)"
"usu","Membership","Professional","Patron various community based organisations; Councillor - Cessnock City Council"
"uws","Travel,Gift","Other Travel,Hospitality","Complimentary admission to Wanderers Home Game at UWS Private Box at Pirtek Stadium,Attended the UWS Vice-Chancellors Farewell Dinner"
"va925","Travel","Air Travel","Flight Upgrade VA925 on 15 October 2014, upgrade to business class"
"vas","Asset","Shares","Family investment in the following index funds jointly held with my wife FAIR, ETHR, VAS, VHY and VESG."
"vax","Unknown","Other","Index funds While these were held as of 11 April 2022, my spouse and I have since divested of these holdings."
"vcx","Asset","Shares,Other Asset","Shareholding in public companies (Goodyear Super fund) Trust,Superannuation Fund - Listed Companies,Superannuation Fund- Listed Companies"
"vecci","Gift,Travel","Entertainment,Other Travel","I was a guest of VECCI at the VECCI Top 200 AFL Grand Final lunch and AFL Grand Final at the MCG on Saturday 29 September 2012,Richmond vs Swans AFL Game following G20 SME Event - VECCI
Tickets for Minister and wife,Hospitality provided by VECCI, AFL Finals football match, 20 September 2013.,Hospitality provided by VECCI, AFL Grand Final football match, 28 September 2013.*,2 AFL Grand Final Tickets, compliments of VECCI"
"vesg","Asset,Unknown","Shares,Other","Family investment in the following index funds jointly held with my wife FAIR, ETHR, VAS, VHY and VESG.,Index funds While these were held as of 11 April 2022, my spouse and I have since divested of these holdings."
"vgk","Unknown,Asset","Other,Other Asset","Listed Companies held by Wilcrow Pty Limited,Item 1:- VGK (Wilcrow) declared on December 9 2013 and incorrectly removed due to administrative error on July 14 2015 (original declaration applies) -ADDITION,Item 7:- MICSX (self and spouse), VGK (Wilcrow Pty Ltd) - DELETION"
"vgt","Asset","Other Asset","Item 7:- SGIIX (self), MSD Energy Partners Ltd (self), MSD Torchlight Partners Ltd (self), VIG (self), VGT (self) - ADDITION"
"vht","Unknown","Other","Item 7:- PDI (Turnbull & Partners Holdings Pty Ltd) VHT (Self) -ADDITION"
"vhy","Asset,Unknown","Shares,Other","Family investment in the following index funds jointly held with my wife FAIR, ETHR, VAS, VHY and VESG.,Index funds While these were held as of 11 April 2022, my spouse and I have since divested of these holdings."
"vic","Income,Asset","Other Income,Real Estate","Currently for sale,Residential,Private residential,Residential investment,Residential Property,Investment Property"
"vig","Asset","Other Asset","Item 7:- SGIIX (self), MSD Energy Partners Ltd (self), MSD Torchlight Partners Ltd (self), VIG (self), VGT (self) - ADDITION"
"visa","Liability","Other Liability,Credit","Paid monthly,Credit Card (paid monthly to zero),Credit cards,Credit cards (Spouse),Credit Cards,Credit Cards (Spouse/partner)"
"visy","Travel,Gift","Other Travel,Entertainment","Accommodation and hospitality overnight paid for by Visy and The Australian to attend the Global Food Forum 2014 Conference in Sydney,Tickets and hospitality for my wife and myself to the ICC Cricket World Cup at the MCG on 29 March 2015, hosted by Visy."
"vline","Unknown","Other","Received a KeepCup from VLine on the 14th June 2015"
"vlue","Unknown","Other","VLUE VanEck Vectors MSCI Int Value ETF"
"vocus","Unknown,Asset","Other,Shares","Self,Spouse,Addition: Vocus Shares (Merger of M2 Group Take up of Rights Issue),N/A"
"vow3d","Unknown","Other","Listed Companies held by Self"
"vowg","Unknown","Other","Listed Companies held by Spouse"
"vrc","Travel,Unknown","Other Travel,Other","Attendance at the Melbourne Cup in Melbourne as guest of the VRC including hospitality,N/A"
"vtg","Asset,Unknown","Shares,Other,Other Asset","Spouse Listed Companies: ANZ, VTG,Listed companies,Shareholding in public companies (Goodyear Super fund) Trust,Listed Companies,Superannuation Fund - Listed Companies,Spouse / Partner - Listed Companies,Superannuation Fund- Listed Companies"
"vuk","Unknown","Other","VUK, SSB4647AU.FND, VAP, TNK0003AU.FND"
"vw","Gift","Other Gift","VW Golf 2016"
"w pac","Asset","Other Asset","Term Deposits"
"wa","Asset","Real Estate,Shares","Private Residence,Deletion - Private Residence,Investment,Deletion - Investment,Addition Spouse - Private Residence,Self: Residential home,New family home in Trigg, WA, with settlement having occurred on Monday 25 May 2020 (ADDITION)"
"waca","Membership,Unknown","Other Membership,Other","2 x WACA complimentary Associate Memberships for 2019-2020 season,2 x WACA Memberships for the 2019/20 Season. Value unknown,Member"
"wbc","Asset,Gift,Unknown","Shares,Other Gift,Other,Other Asset","Shares held by spouse,Shareholding in WBC,Press Club shorten address - WBC,Shares ASL LISTED - WES, CSR, SUL, WBC, BLD, WHC, MMS,Held jointly with spouse in SMSF: Australian,N/A,Savings Account,Deletion"
"wce","Gift","Entertainment","2 Tickets to AFL match Saturday 5th September West Coast Eagles vs St Kilda at Domain Stadium. Event hosted by WCE"
"wctpa","Asset","Other Asset","Managed Funds and Fixed Interest Securities"
"wds","Unknown","Other","N/A"
"wes","Asset","Shares","Shareholding in WES,Shares ASL LISTED - WES, CSR, SUL, WBC, BLD, WHC, MMS,Held jointly with spouse in SMSF: Australian,N/A"
"wests","Membership","Other Membership","Perpetual Membership to Wests."
"wfd","Asset,Unknown","Shares,Other","Shareholding in WFD,N/A"
"wfe","Unknown","Other","Item 1(a)"
"whc","Asset","Shares","Shares ASL LISTED - WES, CSR, SUL, WBC, BLD, WHC, MMS"
"whia","Unknown,Travel","Other,Other Travel","Appointed to serve on the executive committee for the 2011-2013 term of the WHIA,Attended the World Hellenic Inter-parliamentary Association biannual conference in Athens, July 23-28. Hosted by WHIA, travel and accommodation provided by WHIA.,Attended: World Hellenic Inter-Parliamentary Assembly - bi-annual conference. Athens July 24th-28th Hosted by W.H.I.A. Travel and Accommodation provided by W.H.I.A."
"wot","Unknown","Other","Held jointly with spouse in SMSF: Australian"
"wow","Asset,Unknown","Shares,Other","Shareholding in WOW,N/A,ALL OWNED BY SPOUSE/PARTNER: WOW,Held jointly with spouse in SMSF: Australian"
"wpl","Unknown,Asset","Other,Shares","Spouse informs me she has holds a derivative position on WPL,Shareholding in WPL"
"wwf","Unknown","Other","Sponsorship, WWF Orangutan Sponsor"
"xes","Asset","Other Asset","Managed Funds and Fixed Interest Securities"
"xle","Unknown,Asset","Other,Other Asset","Item 1 (a),Item 1(a),Managed Funds and Fixed Interest Securities"
"xlp","Unknown,Asset","Other,Other Asset","Listed Companies held by Self,Item 1:-XLP (self) - DELETION"
"xlu","Unknown","Other","Item 1 (a),Item 1(a),Listed Companies held by Self"
"xme","Asset","Other Asset","Managed Funds and Fixed Interest Securities"
"xop","Asset","Other Asset","Managed Funds and Fixed Interest Securities"
"xro","Unknown","Other","N/A"
"ypo","Membership,Unknown","Other Membership,Other","Member of YPO,Waiving proportion YPO fees"
"z1p","Asset","Shares","Sale of shares"
"zegna","Asset","Real Estate","Attended 50TH Edition of Ermenegildo Zegna Wool Awards, guest of Zegna in Sydney. One night's accommodation provided Australian Wool Innovation."
"μου","Asset","Shares","Shareholding in ΜΟΥ"
"сва","Asset,Unknown","Other Asset,Other","Self, Savings, SMSF A/C, CВА,Spouse, Savings, SMSF A/C, СВА,Savings account of Self,Transaction account of Self,Investment account of Self,Savings account of Spouse/partner,Transaction account of Spouse/partner,N/A"
