Entity Name,Classification,Confidence,Split Entities,Explanation
"Self, Wilcrow, TDF Hughes",MULTIPLE,HIGH,"Self, Wilcrow, TDF Hughes",These appear to be individual or business names.
"Athenaeum (Philadelphia), Australian Club, Australian National Flag Association, Australian Republican Movement, Bondi Icebergs, Bondi Junction Waverley RSL, Eastern Suburbs Leagues Club, Hakoah Club, Law Institute of Victoria, Liberal Party of Australia, Lions Club of the Australian Parliament, North Bondi Surf Club, NSW Law Society, Rose Bay RSL",MULTIPLE,HIGH,"Athenaeum (Philadelphia), Australian Club, Australian National Flag Association, Australian Republican Movement, Bondi Icebergs, Bondi Junction Waverley RSL, Eastern Suburbs Leagues Club, Hakoah Club, Law Institute of Victoria, Liberal Party of Australia, Lions Club of the Australian Parliament, North Bondi Surf Club, NSW Law Society, Rose Bay RSL",This is a list of various Australian clubs and organizations.
"Expert Panel on Constitutional Recognition of Local Government (Spouse), Integrated Design Commission SA (Spouse)",MULTIPLE,HIGH,"Expert Panel on Constitutional Recognition of Local Government (Spouse), Integrated Design Commission SA (Spouse)",Two distinct organizations are mentioned.
"Point Piper, NSW",MULTIPLE,HIGH,"Point Piper, NSW","Point Piper is a location, NSW is a state."
"New York, USA",MULTIPLE,HIGH,"New York, USA","New York is a city, USA is a country."
"Telstra, Optus, GlobalGig, Sydney Festival",MULTIPLE,HIGH,"Telstra, Optus, GlobalGig, Sydney Festival",These are four distinct Australian companies and an event.
"Centre for Liveable Cities, Government of Singapore",MULTIPLE,HIGH,"Centre for Liveable Cities, Government of Singapore",The Centre is a specific entity within the Singaporean government.
"Asciano, Electorate Office",MULTIPLE,HIGH,"Asciano, Electorate Office","Asciano is a company, the Electorate Office is a separate entity."
"Manly Sea Eagles, NRMA",MULTIPLE,HIGH,"Manly Sea Eagles, NRMA","Manly Sea Eagles are a rugby league team, NRMA is an Australian road service organization."
"Anthony Johnston, URM Managing Director",MULTIPLE,HIGH,"Anthony Johnston, URM Managing Director",Anthony Johnston is a person; URM Managing Director is a title/position.
"Jonah's, Whale Beach",MULTIPLE,HIGH,"Jonah's, Whale Beach",Jonah's is likely a restaurant; Whale Beach is a location.
"Rimbink Pato, Papua New Guinea Minister for Foreign Affairs",MULTIPLE,HIGH,"Rimbink Pato, Papua New Guinea Minister for Foreign Affairs","Rimbink Pato is a person, the title is a separate governmental position."
"Rural Finance, Victoria",MULTIPLE,HIGH,"Rural Finance, Victoria","Rural Finance is likely a company or government agency, Victoria is a state."
"Qantas, Virgin Australia",MULTIPLE,HIGH,"Qantas, Virgin Australia",These are two major Australian airlines.
"Bankvic, Victorian Teachers Mutual Bank",MULTIPLE,HIGH,"Bankvic, Victorian Teachers Mutual Bank",These are two distinct Australian banks.
"Wilson Medic One, Benetas",MULTIPLE,HIGH,"Wilson Medic One, Benetas",These are two distinct healthcare providers.
"Australian Opera, Sydney Theatre Company, Belvoir Theatre Company",MULTIPLE,HIGH,"Australian Opera, Sydney Theatre Company, Belvoir Theatre Company",These are three distinct performing arts organizations.
"Chugg Entertainment, NRL, Canterbury Bulldogs",MULTIPLE,HIGH,"Chugg Entertainment, NRL, Canterbury Bulldogs","These are a promotions company, a sporting league, and a sporting team."
"SBS, NRMA",MULTIPLE,HIGH,"SBS, NRMA","SBS is a broadcaster, NRMA is an Australian road service organization."
"Kazaru Pty Ltd, 123 Childcare",MULTIPLE,HIGH,"Kazaru Pty Ltd, 123 Childcare","These are two distinct entities, likely a company and a childcare center."
"Korean Ambassador, Tourism & Transport Forum, Swan Valley Council",MULTIPLE,HIGH,"Korean Ambassador, Tourism & Transport Forum, Swan Valley Council",These are clearly three distinct and separate entities mentioned together.
"Catholic Parish of Bundaberg (Holy Rosary), Bundaberg Rotary Club, Hinkler House Memorial Museum & Research Assn, University of Central Queensland, Liberal National Party of Queensland, Burnett Club, Brothers Sports Club, Hervey Bay Boat Club, Bundaberg RSL Club, Hervey Bay RSL Memorial Services Club, Hervey Bay Business Network",MULTIPLE,HIGH,"Catholic Parish of Bundaberg (Holy Rosary), Bundaberg Rotary Club, Hinkler House Memorial Museum & Research Assn, University of Central Queensland, Liberal National Party of Queensland, Burnett Club, Brothers Sports Club, Hervey Bay Boat Club, Bundaberg RSL Club, Hervey Bay RSL Memorial Services Club, Hervey Bay Business Network",These are eleven distinct organizations.
"Elysium Pty Ltd, National Children's & Youth Law Centre, Australian Museum Trust",MULTIPLE,HIGH,"Elysium Pty Ltd, National Children's & Youth Law Centre, Australian Museum Trust",These are three separate and distinct entities.
"Bonalil Pty Limited, Bonedale Pty Limited, Felix Bay Limited, MB Turnbull Pty Limited, Pokana Pty Limited, Turnbull Foundation, Turnbull & Partners Pty Limited, Turnbull & Partners Holdings Pty Limited, Wilcrow Pty Limited, Advisory Panel on Capital City Infrastructure, Australian Folklife Festival Inc, Australian Technology Park Precinct Management Ltd, Biennale of Sydney, Centre for Independent Studies Limited, ISYS Search Software Pty Limited, Maurtray Pty Limited, Melbourne IT Limited, Redfern Waterloo Authority, The Committee for Sydney, The Redfern Foundation Limited, Turnbull & Partners Holdings Pty Limited, United States Study Centre",MULTIPLE,HIGH,"Bonalil Pty Limited, Bonedale Pty Limited, Felix Bay Limited, MB Turnbull Pty Limited, Pokana Pty Limited, Turnbull Foundation, Turnbull & Partners Pty Limited, Turnbull & Partners Holdings Pty Limited, Wilcrow Pty Limited, Advisory Panel on Capital City Infrastructure, Australian Folklife Festival Inc, Australian Technology Park Precinct Management Ltd, Biennale of Sydney, Centre for Independent Studies Limited, ISYS Search Software Pty Limited, Maurtray Pty Limited, Melbourne IT Limited, Redfern Waterloo Authority, The Committee for Sydney, The Redfern Foundation Limited, Turnbull & Partners Holdings Pty Limited, United States Study Centre","This list contains many separate companies, foundations, and organizations."
"Dimensional Australian Value Trust, EQT Intrinsic Value International Sharemarkets Plus Fund, Goldman Sachs Private Equity Funds, Stone Street Real Estate Fund, Stone Street Fund, Bridge Street Asia Fund, Magellan Flagship Fund Limited, Pengana Emerging Companies Fund, Pengana Global Resources Fund, Platinum International Fund, XES, AMP Capital Structured High Yield Fund, CBAPB, WCTPA, Turnbull & Partners Pty Ltd, BNBG, MXUPA, MB Turnbull Pty Limited, Griffin Coal Mining Co - corporate bonds, Morgan Stanley Real Estate Fund VI, Republic of Indonesia Government Bonds, State Bank of India Hybrid Perpetual CPN, EWM, SPY, XLE, XME, XOP, GS Capital Partners VI, Tyndall Australian Share Wholesale Portfolio, Hunter Hall Value Growth Trust",MULTIPLE,HIGH,"Dimensional Australian Value Trust, EQT Intrinsic Value International Sharemarkets Plus Fund, Goldman Sachs Private Equity Funds, Stone Street Real Estate Fund, Stone Street Fund, Bridge Street Asia Fund, Magellan Flagship Fund Limited, Pengana Emerging Companies Fund, Pengana Global Resources Fund, Platinum International Fund, XES, AMP Capital Structured High Yield Fund, CBAPB, WCTPA, Turnbull & Partners Pty Ltd, BNBG, MXUPA, MB Turnbull Pty Limited, Griffin Coal Mining Co - corporate bonds, Morgan Stanley Real Estate Fund VI, Republic of Indonesia Government Bonds, State Bank of India Hybrid Perpetual CPN, EWM, SPY, XLE, XME, XOP, GS Capital Partners VI, Tyndall Australian Share Wholesale Portfolio, Hunter Hall Value Growth Trust",This is a list of numerous distinct investment funds and entities.
"Pilmer pty ltd, Turnbull & Partners Pty Limited, Finance Now Holdings Pty Ltd",MULTIPLE,HIGH,"Pilmer pty ltd, Turnbull & Partners Pty Limited, Finance Now Holdings Pty Ltd",These are three separate limited liability companies.
"Cairns Penny Savings & Loans, Westpac, Bendigo Bank",MULTIPLE,HIGH,"Cairns Penny Savings & Loans, Westpac, Bendigo Bank",These are three distinct financial institutions.
"Australian Services Union, Australian Labor Party, Returned & Services League",MULTIPLE,HIGH,"Australian Services Union, Australian Labor Party, Returned & Services League",These are three distinct Australian organizations.
"Suncorp, Emirates, Lion, Diageo & CGU",MULTIPLE,HIGH,"Suncorp, Emirates, Lion, Diageo, CGU",These are four distinct companies operating in different sectors.
"Virgin, Slater & Gordon (UK) LLP",MULTIPLE,HIGH,"Virgin, Slater & Gordon (UK) LLP",These are two distinct entities: an airline and a law firm.
"NAB, Commonwealth, Citibank, B&E Building Society",MULTIPLE,HIGH,"NAB, Commonwealth Bank, Citibank, B&E Building Society",These are four different financial institutions.
"B&E Building Society, MyState",MULTIPLE,HIGH,"B&E Building Society, MyState",These are two separate building societies.
"SAVE THE CHILDREN AUSTRALIA, BILL & MELINDA GATES FOUNDATION",MULTIPLE,HIGH,"SAVE THE CHILDREN AUSTRALIA, BILL & MELINDA GATES FOUNDATION",These are two separate and well-known international organizations.
"Save The Children Fund, Bill & Melinda Gates Foundation, Oil Search Foundation",MULTIPLE,HIGH,"Save The Children Fund, Bill & Melinda Gates Foundation, Oil Search Foundation",These are three distinct organizations.
"The Bill & Melinda Gates Foundation, Pacific Friends of the Global Fund, Asia Pacific Leaders Malaria Alliance, Chevron",MULTIPLE,HIGH,"The Bill & Melinda Gates Foundation, Pacific Friends of the Global Fund, Asia Pacific Leaders Malaria Alliance, Chevron",These are four distinct organizations.
"ANZ & ING, VicSuper, Westpac & ANZ, Health Super",MULTIPLE,HIGH,"ANZ, ING, VicSuper, Westpac, ANZ, Health Super",These are four distinct financial institutions.
"CBA, ANZ & Bendigo",MULTIPLE,HIGH,"CBA, ANZ, Bendigo",These are three distinct Australian banks.
"Patron, Returned & Services League of Australia QLD Branch, National Servicemen's Sub Branch Inc.",MULTIPLE,HIGH,"Patron, Returned & Services League of Australia QLD Branch, National Servicemen's Sub Branch Inc.","These are three separate entities: a person (Patron), a state branch, and a sub-branch."
Western Sydney Wanderers and Turner Freeman Lawyers,MULTIPLE,HIGH,"Western Sydney Wanderers, Turner Freeman Lawyers",These are clearly two separate entities: a sports team and a law firm.
Qantas Lounge and Virgin Club,MULTIPLE,HIGH,"Qantas Lounge, Virgin Club",These are separate airport lounge programs offered by competing airlines.
"Qantas, Virgin, Zero 95, Belgrave Football and Netball club, Eastern Football League, Foxtel",MULTIPLE,HIGH,"Qantas, Virgin, Zero 95, Belgrave Football and Netball club, Eastern Football League, Foxtel","This is a list of multiple, entirely separate organizations."
"Melbourne Cricket Club, Belgrave Football and Netball Club, Lilydale Township Action Group, Lilydale RSL, Fernwood Gym",MULTIPLE,HIGH,"Melbourne Cricket Club, Belgrave Football and Netball Club, Lilydale Township Action Group, Lilydale RSL, Fernwood Gym",This is a list of different community organizations and sporting clubs.
AMP and BT,MULTIPLE,HIGH,"AMP, BT","AMP and BT are separate, albeit related, financial services companies."
Netball Queensland and Queensland Firebirds,MULTIPLE,HIGH,"Netball Queensland, Queensland Firebirds","Netball Queensland is the governing body; Queensland Firebirds is a team within that organization's league.  While related, they are distinct entities."
National Rugby League (NRL) and Australian Rugby League (ARL),MULTIPLE,HIGH,"National Rugby League (NRL), Australian Rugby League (ARL)","While related, NRL and ARL are distinct governing bodies."
Save the Children Australia and the Gates Foundation,MULTIPLE,HIGH,"Save the Children Australia, the Gates Foundation",These are two completely separate organizations.
"Tripple S Superannuation, AMP Super",MULTIPLE,HIGH,"Tripple S Superannuation, AMP Super",These are two distinct superannuation funds.
"CBA, Macquarie Bank",MULTIPLE,HIGH,"CBA, Macquarie Bank",CBA (Commonwealth Bank of Australia) and Macquarie Bank are separate entities.
"Province of Bohol, Philippines",MULTIPLE,HIGH,"Province of Bohol, Philippines",The Province of Bohol is a province within the Philippines.
"AECR, Emirates",MULTIPLE,HIGH,"AECR, Emirates",AECR (Alliance of European Conservatives and Reformists) and Emirates are separate entities.  Context clearly shows this.
"Carers Australia, Bear Cottage",MULTIPLE,HIGH,"Carers Australia, Bear Cottage",Two distinct charities are mentioned.
"Soldier On, StreetWork Northern Beaches",MULTIPLE,HIGH,"Soldier On, StreetWork Northern Beaches",Two distinct charities are named.
"Michael Wheelahan, Timothy J.F. McEvoy, Arnold Bloch Leibler",MULTIPLE,HIGH,"Michael Wheelahan, Timothy J.F. McEvoy, Arnold Bloch Leibler",Two individuals and a law firm are listed.
"Anglicare PNG, Airways Hotel Limited",MULTIPLE,HIGH,"Anglicare PNG, Airways Hotel Limited",A charity and a hotel are separately identified.
"Mohammed bin Rashid Al Maktoum Foundation, Washington Speakers Bureau",MULTIPLE,HIGH,"Mohammed bin Rashid Al Maktoum Foundation, Washington Speakers Bureau",A foundation and a speakers bureau are named.
"Soldier On, Streetwork",MULTIPLE,HIGH,"Soldier On, Streetwork",Two separate charities are mentioned.
"Carers Australia, Royal Flying Doctor Service, Ronald McDonald House, Youth Insearch, Paralympic Games",MULTIPLE,HIGH,"Carers Australia, Royal Flying Doctor Service, Ronald McDonald House, Youth Insearch, Paralympic Games",Multiple distinct organizations are listed.
"Today Show, Channel Nine",MULTIPLE,HIGH,"Today Show, Channel Nine",A television program and the television network that broadcasts it.
"Parliament of Kuwait, General Delegation of Palestine",MULTIPLE,HIGH,"Parliament of Kuwait, General Delegation of Palestine",Two separate government entities are named.
"Sydney Credit Union, Australian Super, Sun Super",MULTIPLE,HIGH,"Sydney Credit Union, Australian Super, Sun Super",A credit union and two superannuation funds are listed.
"Fairfield RSC Club, Smithfield RSE Club, Marcom Club, Guildford West Leagues Club, GWS Giants AFL Club",MULTIPLE,HIGH,"Fairfield RSC Club, Smithfield RSE Club, Marcom Club, Guildford West Leagues Club, GWS Giants AFL Club",Multiple distinct clubs are listed.
"CBA, ANZ, BENDIGO BANK",MULTIPLE,HIGH,"CBA, ANZ, BENDIGO BANK",Three separate banks are listed.
"SELECTED RUGBY LEAGUE GAMES/CANTERBURY BULLDOGS, SELECTED PERFORMANCES ARTS ORGANISATIONS INCLUDING OPERA AUSTRALIA, SYDNEY THEATRE CO BELVOIR THEATRE COMPANY, BLUESFEST",MULTIPLE,HIGH,"SELECTED RUGBY LEAGUE GAMES/CANTERBURY BULLDOGS, SELECTED PERFORMANCES ARTS ORGANISATIONS INCLUDING OPERA AUSTRALIA, SYDNEY THEATRE CO BELVOIR THEATRE COMPANY, BLUESFEST",Multiple events and organizations are listed.
"ALP, SDA, LAKEMBA BOWLING CLUB BENEVOLENT SOCIETY, LOCAL REGISTERED CLUBS",MULTIPLE,HIGH,"ALP, SDA, LAKEMBA BOWLING CLUB BENEVOLENT SOCIETY, LOCAL REGISTERED CLUBS",Multiple organizations and groups are listed.
"ALP, CANTERBURY CITY COMMUNITY CENTRE",MULTIPLE,HIGH,"ALP, CANTERBURY CITY COMMUNITY CENTRE",A political party and a community center are named.
"CBA, ING Direct",MULTIPLE,HIGH,"CBA, ING Direct",Two different banks are mentioned.
"QANTAS, Virgin Australia",MULTIPLE,HIGH,"QANTAS, Virgin Australia",Two competing Australian airlines.
"Save the Children Australia, Gates Foundation",MULTIPLE,HIGH,"Save the Children Australia, Gates Foundation",Two distinct organizations are named.
"Maurice Blackburn Pty Ltd, Melbourne University Publishing (MUP)",MULTIPLE,HIGH,"Maurice Blackburn Pty Ltd, Melbourne University Publishing (MUP)",A law firm and a publisher are listed.
"ASTRA, Foxtel",MULTIPLE,HIGH,"ASTRA, Foxtel",Two separate companies are mentioned.
"Georgetown University, Washington",MULTIPLE,HIGH,"Georgetown University, Washington",A university and a city are mentioned.
"Westpac Banking Corporation, Commonwealth Bank",MULTIPLE,HIGH,"Westpac Banking Corporation, Commonwealth Bank",Two separate banks are named.
"Commonwealth Bank, Westpac Banking Corporation",MULTIPLE,HIGH,"Commonwealth Bank, Westpac Banking Corporation",Two separate banks are named.
"AMP, Retirements Benefits Fund Tasmania",MULTIPLE,HIGH,"AMP, Retirements Benefits Fund Tasmania",Two different superannuation providers.
"Tasmanian Association of Community Houses, EMILY's List, Amnesty International, Cricket Tasmania, Huon Agricultural Society, Hawthorn Football Club, Lindisfarne Football Club, Australian Republican Movement, Clarence Football Club, Howrah Recreation Centre, Royal Society for the Prevention of Cruelty to Animals (RSPCA), Warrane/Mornington Neighbourhood House, Risdon Vale Neighbourhood House - Patron, Clifton Beach Royal Life Saving - Patron, Keep Watch Ambassador - Royal Life Saving Association",MULTIPLE,HIGH,"Tasmanian Association of Community Houses, EMILY's List, Amnesty International, Cricket Tasmania, Huon Agricultural Society, Hawthorn Football Club, Lindisfarne Football Club, Australian Republican Movement, Clarence Football Club, Howrah Recreation Centre, Royal Society for the Prevention of Cruelty to Animals (RSPCA), Warrane/Mornington Neighbourhood House, Risdon Vale Neighbourhood House, Clifton Beach Royal Life Saving, Keep Watch Ambassador - Royal Life Saving Association",Many different organizations are listed.
"St Hilda's College, The University of Melbourne, Alumni",MULTIPLE,HIGH,"St Hilda's College, The University of Melbourne, Alumni","A college, a university, and alumni group are named."
"FOXTEL CABLE TELEVISION PTY LTD, QANTAS AIRWAYS LTD, VIRGIN AUSTRALIA AIRLINES PTY LTD, NATIONAL PRESS CLUB OF AUSTRALIA",MULTIPLE,HIGH,"FOXTEL CABLE TELEVISION PTY LTD, QANTAS AIRWAYS LTD, VIRGIN AUSTRALIA AIRLINES PTY LTD, NATIONAL PRESS CLUB OF AUSTRALIA",Several distinct companies and organizations are listed.
"AUSTRALIAN WORKERS' UNION OF EMPLOYEES, QLD, AUSTRALIAN LABOR PARTY, QLD",MULTIPLE,HIGH,"AUSTRALIAN WORKERS' UNION OF EMPLOYEES, QLD, AUSTRALIAN LABOR PARTY, QLD",Two organizations and the state of Queensland are mentioned twice.
"THE AUSTRALIAN AMERICAN LEADERSHIP DIALOGUE, VIRGIN AUSTRALIA AIRLINES PTY LTD",MULTIPLE,HIGH,"THE AUSTRALIAN AMERICAN LEADERSHIP DIALOGUE, VIRGIN AUSTRALIA AIRLINES PTY LTD",A dialogue group and an airline are named.
"CATHY PACIFIC AIRWAYS, ROYAL JORDANIAN, QANTAS AIRWAYS, AUSTRALIA-ISRAEL JEWISH AFFAIRS COUNCIL (AIJAC)",MULTIPLE,HIGH,"CATHY PACIFIC AIRWAYS, ROYAL JORDANIAN, QANTAS AIRWAYS, AUSTRALIA-ISRAEL JEWISH AFFAIRS COUNCIL (AIJAC)",Airlines and an advocacy group are listed.
"AZNUR PTY LTD, GOVERNMENT OF AZERBAIJAN",MULTIPLE,HIGH,"AZNUR PTY LTD, GOVERNMENT OF AZERBAIJAN",A private company and a government are named.
"ANZ, CBA, NAB",MULTIPLE,HIGH,"ANZ, CBA, NAB",Three major Australian banks are listed.
"ANZ, QPCU, NAB, CBA",MULTIPLE,HIGH,"ANZ, QPCU, NAB, CBA",Four financial institutions are listed.
"ANZ, QPCU",MULTIPLE,HIGH,"ANZ, QPCU",Two financial institutions are mentioned.
"News Ltd, FiveAA",MULTIPLE,HIGH,"News Ltd, FiveAA",A media company and a radio station are listed.
"ING Direct, Westpac (Spouse)",MULTIPLE,HIGH,"ING Direct, Westpac","Two banks are mentioned, with clarification on one being the spouse's."
"Cairns Penny Savings + Loans, Westpac, ANZ (Spouse)",MULTIPLE,HIGH,"Cairns Penny Savings, Loans, Westpac, ANZ",A local savings and loans institution and two major banks are mentioned.
Melbourne Cricket Club (MCC) and Cricket Australia,MULTIPLE,HIGH,"Melbourne Cricket Club (MCC), Cricket Australia",These are two distinct and well-known Australian sporting organizations.
Emirates and Lion,MULTIPLE,HIGH,"Emirates, Lion","Emirates is an airline, and Lion likely refers to Lion Nathan (now part of Lion), a large Australian beverage company.  Context confirms separate entities."
Channel 9 and Qantas,MULTIPLE,HIGH,"Channel 9, Qantas","Channel 9 is a television network, and Qantas is an airline. These are clearly separate entities."
Qantas and Emirates,MULTIPLE,HIGH,"Qantas, Emirates",Qantas and Emirates are two separate international airlines.
Westpac and Rhymney Pty Ltd,MULTIPLE,HIGH,"Westpac, Rhymney Pty Ltd","Westpac is a major Australian bank, and Rhymney Pty Ltd is a separate (though likely smaller) company."
Santos and Orica Green Edge,MULTIPLE,HIGH,"Santos, Orica Green Edge","Santos is an energy company, and Orica Green Edge was a cycling team (now defunct).  These are distinct entities."
Shell and Optus,MULTIPLE,HIGH,"Shell, Optus","Shell is an energy company, and Optus is a telecommunications company. Both operate in Australia."
eBay and PayPal,MULTIPLE,HIGH,"eBay, PayPal","eBay and PayPal are two separate, well-known international online businesses."
James Boag and Mumm,MULTIPLE,HIGH,"James Boag, Mumm",James Boag's Brewery and Mumm Champagne are separate beverage companies.
Asialink and Huawei,MULTIPLE,HIGH,"Asialink, Huawei",Asialink is an Australian organisation and Huawei is a Chinese multinational technology company.
"Pixi Foto, Target and Bounty and Bankstown Council",MULTIPLE,HIGH,"Pixi Foto, Target, Bounty, Bankstown Council","These are four distinct organisations: a photography business, a retail store, a hygiene product brand and a local council."
"Westpac, Australian Industry Group, Australian Chamber of Commerce and Industry",MULTIPLE,HIGH,"Westpac, Australian Industry Group, Australian Chamber of Commerce and Industry",These are three distinct Australian organisations: a bank and two industry groups.
"Navantia, Foreign Minister of Bosnia and Herzegovina",MULTIPLE,HIGH,"Navantia, Foreign Minister of Bosnia and Herzegovina","Navantia is a Spanish shipbuilding company, and the Foreign Minister represents a separate governmental entity."
"BHP Billiton, Interlink Roads, Clubs Australia, Bankstown RSL, Bankstown Sports Club, Linfox, Master Builders Association, Generation One, CFMEU, Australian Health Insurance Association and Publishing and Broadcasting Limited - Channel 9.",MULTIPLE,HIGH,"BHP Billiton, Interlink Roads, Clubs Australia, Bankstown RSL, Bankstown Sports Club, Linfox, Master Builders Association, Generation One, CFMEU, Australian Health Insurance Association, Publishing and Broadcasting Limited - Channel 9",This lists many distinct Australian companies and organizations.
"PixiFoto Roselands, Heinz Australia, Church and Dwight Co",MULTIPLE,HIGH,"PixiFoto Roselands, Heinz Australia, Church and Dwight Co",These are three distinct companies.
"US Customs and Border Protection, Woolworths, Defence Materials Technology Centre, Sri Lankan High Commission",MULTIPLE,HIGH,"US Customs and Border Protection, Woolworths, Defence Materials Technology Centre, Sri Lankan High Commission",These are four distinct entities representing different governmental and commercial organisations.
"Indonesian Government, Indonesian Minister for Law and Human Rights, Chief of Indonesian National Police, Indonesian Deputy Attorney General, Lebanese Community",MULTIPLE,HIGH,"Indonesian Government, Indonesian Minister for Law and Human Rights, Chief of Indonesian National Police, Indonesian Deputy Attorney General, Lebanese Community",These represent different branches and entities of the Indonesian government and a separate community group.
Teochew Association Cabramatta and Shantou Municipal Council (China),MULTIPLE,HIGH,"Teochew Association Cabramatta, Shantou Municipal Council (China)","These are two separate organisations, one an Australian community group and the other a Chinese governmental entity."
Australian Political Exchange Council and the Korea Foundation,MULTIPLE,HIGH,"Australian Political Exchange Council, the Korea Foundation",These are two separate organisations.
"Australian Subscription Television and Radio Association (ASTRA), Austar",MULTIPLE,HIGH,"Australian Subscription Television and Radio Association (ASTRA), Austar","While ASTRA is the acronym for the association, Austar was a separate pay television provider (now defunct)."
Treaty Village Association of the South Fly District and Reef and Rainforest Research Centre (RRRC),MULTIPLE,HIGH,"Treaty Village Association of the South Fly District, Reef and Rainforest Research Centre (RRRC)",These are two distinct organizations.
Huawei and Asialink,MULTIPLE,HIGH,"Huawei, Asialink",These are two separate organizations.
Commonwealth and Foreign Office,MULTIPLE,HIGH,"Commonwealth, Foreign Office","In this context, it is referring to two separate but related governmental bodies; the Commonwealth and the Foreign Office (likely UK)."
"Rose Bay, Tasmania",MULTIPLE,HIGH,"Rose Bay, Tasmania","Rose Bay is a suburb, and Tasmania is a state.  The context examples clearly show them as separate locations."
"Toowoomba, Queensland",MULTIPLE,HIGH,"Toowoomba, Queensland","Toowoomba is a city, and Queensland is a state. The context example shows a location within Queensland."
"Scarborough, WA",MULTIPLE,HIGH,"Scarborough, WA",Scarborough is a suburb in Western Australia (WA).
"Liberal Party of WA, Stirling Division",MULTIPLE,HIGH,"Liberal Party of WA, Stirling Division","The Liberal Party of WA is a political party, and Stirling Division is a branch or electorate within it."
"Jetts Fitness, Scarborough",MULTIPLE,HIGH,"Jetts Fitness, Scarborough","Jetts Fitness is a gym franchise, and Scarborough is a location. The context clarifies this as two separate entities."
"Trigg, WA",MULTIPLE,HIGH,"Trigg, WA",Trigg is a suburb in Western Australia (WA).
"LJ Hooker, Warners Bay",MULTIPLE,HIGH,"LJ Hooker, Warners Bay","LJ Hooker is a real estate agency, and Warners Bay is a location. The context shows a specific LJ Hooker branch."
"Australian Workers' Union of Employees, Qld",MULTIPLE,HIGH,"Australian Workers' Union of Employees, Qld","Australian Workers' Union of Employees is a union, and Qld (Queensland) specifies a state branch."
"Australian Labor Party, Qld",MULTIPLE,HIGH,"Australian Labor Party, Qld","Australian Labor Party is a political party, and Qld (Queensland) indicates a state branch."
"Moreton Island, Qld",MULTIPLE,HIGH,"Moreton Island, Qld","Moreton Island is an island, and Qld (Queensland) is the state it belongs to."
"Palm Beach, Qld",MULTIPLE,HIGH,"Palm Beach, Qld","Palm Beach is a location, and Qld (Queensland) specifies the state."
"Spring Hill, Qld",MULTIPLE,HIGH,"Spring Hill, Qld","Spring Hill is a suburb, and Qld (Queensland) is the state."
"ANZ, QBank, NAB, CBA",MULTIPLE,HIGH,"ANZ, QBank, NAB, CBA",These are all separate Australian banks.
"ANZ, Qbank",MULTIPLE,HIGH,"ANZ, Qbank",These are two separate Australian banks.
"Equity Access Loan, Westpac Bank",MULTIPLE,HIGH,"Equity Access Loan, Westpac Bank","Equity Access Loan is a type of loan product, and Westpac Bank is the financial institution."
"Entsch Family Trust, Tuff Muff Exhaust",MULTIPLE,HIGH,"Entsch Family Trust, Tuff Muff Exhaust",These are clearly two distinct entities: a family trust and a business.
"ALP, NPC, Vintage Golf Club, Qutries Chairman's Lounge, Virgin Lounge, Kriss Flyer Membership, USU, Various Registered Clubs, NSW",MULTIPLE,HIGH,"ALP, NPC, Vintage Golf Club, Qutries Chairman's Lounge, Virgin Lounge, Kriss Flyer Membership, USU, Various Registered Clubs, NSW",This lists multiple organizations and locations.  NSW likely refers to New South Wales.
"Macquarie Cash Management Account, ING Direct, RaboDirect, St George Bank",MULTIPLE,HIGH,"Macquarie Cash Management Account, ING Direct, RaboDirect, St George Bank",These are all separate financial institutions offering different accounts.
"ING Living Super, Public Sector Superannuation Scheme, PFMZ Pearl Superannuation Fund",MULTIPLE,HIGH,"ING Living Super, Public Sector Superannuation Scheme, PFMZ Pearl Superannuation Fund",These are three different superannuation funds.
"Falls Festival, Lorne",MULTIPLE,HIGH,"Falls Festival, Lorne","Falls Festival is a music festival, and Lorne is the location."
"NSW Rural Fire Service Association, Orange Community Broadcasters, Orange Emulators Rugby",MULTIPLE,HIGH,"NSW Rural Fire Service Association, Orange Community Broadcasters, Orange Emulators Rugby","These are three separate organizations in Orange, NSW."
"Atlantic Council, Inter-Parliamentary Alliance on China",MULTIPLE,HIGH,"Atlantic Council, Inter-Parliamentary Alliance on China",These are two distinct international organizations.
"Military Brotherhood Motorcycle Club, Peel Branch",MULTIPLE,HIGH,"Military Brotherhood Motorcycle Club, Peel Branch",A motorcycle club and its specific branch.
"Foxtel, Chairman's Lounge (Qantas), The Club (Virgin)",MULTIPLE,HIGH,"Foxtel, Chairman's Lounge (Qantas), The Club (Virgin)","Foxtel is a TV provider, and the others are airline lounges."
"Australian Labor Party, Australian Workers' Union, National Press Club, Campbelltown Catholic Club, Western Suburbs Rugby League Club, Cabra-Vale Diggers Club, National Servicemens' Association",MULTIPLE,HIGH,"Australian Labor Party, Australian Workers' Union, National Press Club, Campbelltown Catholic Club, Western Suburbs Rugby League Club, Cabra-Vale Diggers Club, National Servicemens' Association",A list of different organizations.
"Australian Labor Party, Campbelltown Catholic Club, National Press Club, Western Suburbs Leagues Club",MULTIPLE,HIGH,"Australian Labor Party, Campbelltown Catholic Club, National Press Club, Western Suburbs Leagues Club",These are all separate organizations.
"American Express, ANZ, Westpac",MULTIPLE,HIGH,"American Express, ANZ, Westpac",These are all separate financial institutions.
